yAxis	xAxis
1	4.8
2	4.3
3	3.9
4	3.5
5	3.7
6	4.0
7	3.9
8	4.5
9	4.9
10	4.1
11	4.8
12	4.2
13	4.3
14	5.0
15	4.7
16	4.8
17	4.1
18	3.8
19	3.5
20	3.8
21	3.5
22	3.5
23	3.4
24	3.4
25	3.4
26	3.3
27	3.5
28	3.6
29	3.9
30	4.2
31	4.9
32	5.1
33	5.5
34	6.5
35	6.8
36	8.1
37	7.2
38	7.3
39	6.3
40	5.9
41	5.9
42	5.6
43	5.5
44	5.3
45	5.3
46	5.0
47	4.8
48	5.1
49	5.3
50	5.7
51	5.4
52	5.4
53	5.4
54	5.5
55	5.1
56	5.1
57	4.9
58	5.0
59	5.5
60	5.6
61	5.7
62	5.4
63	5.0
64	4.8
65	4.3
66	4.0
67	2.9
68	2.6
69	2.3
70	2.1
71	1.7
72	1.5
73	1.3
74	1.3
75	1.5
76	1.6
77	1.8
78	1.3
79	0.9
80	1.0
81	1.2
82	1.5
83	2.1
84	2.8
85	3.1
86	3.2
87	2.9
88	2.6
89	2.1
90	1.5
91	1.4
92	1.2
93	1.0
94	0.7
95	0.6
96	0.5
97	0.4
98	-0.2
99	-0.4
100	-0.4
101	-0.4
102	-0.4
103	-0.4
104	-0.3
105	-0.1
106	0.1
107	0.7
108	1.4
109	1.6
110	1.6
111	1.3
112	0.9
113	0.5
114	0.0
115	0.1
116	-0.9
117	-1.0
118	-1.1
119	-1.3
120	-1.3
121	-1.5
122	-1.3
123	-1.3
124	-0.6
125	-0.7
126	-0.4
127	-0.1
128	0.7
129	0.6
130	0.6
131	1.6
132	1.8
133	1.6
134	1.6
135	1.6
136	1.5
137	1.3
138	1.2
139	0.5
140	0.4
141	0.1
142	0.5
143	0.4
144	0.5
145	0.7
146	0.6
147	0.5
148	0.7
149	1.0
150	1.1
151	1.6
152	1.5
153	1.5
154	1.6
155	0.4
156	0.6
157	1.3
158	1.5
159	2.0
160	2.3
161	2.0
162	2.1
163	2.1
164	2.3
165	2.6
166	2.6
167	2.6
168	3.1
169	3.1
170	3.0
171	2.6
172	3.1
173	3.5
174	3.5
175	3.9
176	4.0
177	3.9
178	3.5
179	2.9
180	2.9
181	2.9
182	2.9
183	3.1
184	3.1
185	2.9
186	3.1
187	2.8
188	2.9
189	2.6
190	2.8
191	2.4
192	3.3
193	4.7
194	4.4
195	4.0
196	4.3
197	4.5
198	4.0
199	4.5
200	4.2
201	3.5
202	3.2
203	3.2
204	2.8
205	2.1
206	0.6
207	0.6
208	0.7
209	1.0
210	0.9
211	0.0
212	-0.1
213	1.0
214	0.9
215	0.9
216	0.6
217	0.5
218	-0.2
219	-0.1
220	0.1
221	0.3
222	0.4
223	0.4
224	0.5
225	0.9
226	0.6
227	0.4
228	0.5
229	0.9
230	3.1
231	4.2
232	5.3
233	4.5
234	5.2
235	5.0
236	4.7
237	4.5
238	4.8
239	5.5
240	5.5
241	5.4
242	5.7
243	5.5
244	5.4
245	4.5
246	4.9
247	4.3
248	4.6
249	4.8
250	4.8
251	5.0
252	5.2
253	5.1
254	5.1
255	3.2
256	1.0
257	1.0
258	1.3
259	1.3
260	1.0
261	0.4
262	0.0
263	-0.1
264	-0.4
265	-0.5
266	-0.9
267	-1.2
268	-1.1
269	-0.7
270	-0.2
271	0.2
272	1.8
273	2.4
274	3.2
275	3.5
276	4.0
277	4.2
278	4.5
279	4.4
280	4.0
281	3.9
282	3.9
283	4.3
284	4.8
285	6.0
286	7.1
287	7.3
288	6.2
289	5.0
290	5.0
291	5.8
292	5.5
293	4.9
294	3.9
295	3.2
296	3.0
297	3.1
298	3.3
299	3.5
300	4.8
301	4.5
302	5.3
303	5.0
304	3.9
305	4.0
306	4.4
307	5.6
308	5.4
309	4.8
310	4.8
311	3.9
312	3.5
313	3.1
314	2.6
315	2.6
316	3.1
317	3.1
318	2.9
319	2.8
320	2.9
321	2.6
322	2.5
323	2.7
324	2.7
325	2.6
326	2.9
327	2.4
328	2.4
329	2.6
330	2.4
331	2.0
332	2.1
333	2.3
334	2.1
335	2.4
336	2.7
337	2.4
338	2.0
339	2.1
340	1.8
341	1.8
342	2.0
343	2.4
344	2.2
345	2.0
346	3.3
347	3.2
348	3.2
349	3.4
350	3.4
351	3.5
352	3.0
353	2.9
354	3.1
355	3.5
356	4.0
357	4.5
358	4.5
359	4.5
360	4.6
361	4.9
362	4.6
363	5.3
364	4.9
365	5.4
366	5.3
367	5.2
368	5.3
369	5.7
370	5.7
371	5.9
372	5.4
373	5.1
374	4.8
375	4.9
376	4.9
377	4.9
378	4.8
379	4.8
380	4.6
381	4.9
382	4.8
383	4.6
384	4.3
385	4.3
386	4.1
387	4.0
388	4.0
389	4.0
390	4.3
391	3.9
392	3.9
393	3.8
394	3.6
395	3.8
396	3.9
397	3.8
398	4.0
399	4.1
400	4.1
401	3.8
402	3.6
403	3.5
404	3.4
405	2.9
406	3.4
407	3.5
408	3.4
409	3.4
410	3.4
411	3.3
412	3.2
413	3.1
414	2.6
415	2.3
416	2.1
417	2.3
418	2.9
419	2.9
420	3.3
421	3.4
422	3.1
423	3.1
424	3.0
425	3.0
426	2.6
427	2.6
428	2.9
429	2.6
430	2.6
431	2.4
432	2.3
433	2.1
434	2.1
435	2.0
436	1.5
437	1.1
438	0.7
439	0.9
440	1.1
441	1.6
442	2.1
443	2.6
444	3.0
445	2.8
446	2.8
447	2.4
448	2.1
449	2.1
450	2.1
451	2.1
452	2.0
453	2.0
454	2.0
455	2.6
456	2.9
457	3.0
458	2.9
459	2.5
460	2.1
461	2.1
462	2.1
463	2.3
464	2.4
465	2.3
466	1.8
467	1.6
468	1.6
469	1.2
470	1.2
471	0.7
472	0.4
473	0.5
474	0.5
475	0.5
476	0.5
477	0.4
478	0.4
479	0.3
480	0.4
481	0.4
482	0.5
483	0.6
484	0.7
485	0.9
486	0.9
487	1.1
488	1.2
489	1.1
490	1.0
491	1.3
492	1.6
493	1.6
494	1.6
495	1.6
496	1.6
497	1.2
498	1.1
499	1.3
500	1.6
501	1.5
502	1.2
503	1.0
504	1.3
505	1.3
506	1.3
507	1.2
508	1.1
509	0.6
510	0.6
511	0.7
512	0.9
513	1.1
514	1.5
515	1.5
516	1.5
517	1.5
518	1.3
519	1.1
520	1.2
521	1.2
522	1.1
523	0.9
524	0.9
525	1.0
526	1.3
527	1.0
528	1.1
529	1.1
530	0.7
531	1.3
532	0.1
533	0.2
534	0.1
535	-0.8
536	-1.4
537	-1.1
538	-0.7
539	-0.4
540	0.1
541	0.2
542	-0.1
543	-0.8
544	-1.5
545	-2.0
546	-2.1
547	-2.3
548	-2.3
549	-2.8
550	-2.7
551	-2.6
552	-3.7
553	-3.8
554	-3.7
555	-2.1
556	-0.7
557	1.3
558	1.4
559	1.5
560	2.0
561	2.0
562	1.9
563	2.0
564	1.6
565	1.4
566	1.3
567	1.3
568	1.5
569	1.6
570	1.5
571	1.4
572	1.7
573	1.6
574	1.6
575	1.6
576	1.6
577	1.1
578	1.1
579	1.0
580	1.0
581	0.0
582	0.4
583	0.7
584	1.6
585	2.3
586	1.3
587	1.8
588	1.7
589	1.5
590	1.5
591	1.3
592	1.5
593	1.1
594	1.2
595	1.1
596	1.5
597	1.3
598	0.5
599	0.3
600	0.1
601	0.1
602	0.4
603	0.7
604	0.7
605	0.6
606	1.1
607	1.8
608	2.1
609	2.1
610	2.8
611	3.0
612	2.8
613	2.9
614	3.1
615	3.1
616	2.8
617	3.1
618	2.9
619	2.7
620	2.6
621	2.9
622	2.9
623	2.8
624	2.6
625	2.4
